Type Of House,Price,Number of rooms,Street,City,State,Zip
Apartment for rent,1700,3,115 N Fairmount St # 2,Pittsburgh,PA,15206
Apartment for rent,975,2,84 S 15th St APT 3,Pittsburgh,PA,15203
House for rent,950,3,1601 Belhurst Ave,Pittsburgh,PA,15204
Apartment for rent,2400,4,3460 Dawson St # 1,Pittsburgh,PA,15213
House for rent,1200,2,1942 Arlington Ave,Pittsburgh,PA,15210
Apartment for rent,1800,2,5747 Kentucky Ave # 1,Pittsburgh,PA,15232
Townhouse for rent,1695,3,36 Timberline Ct,Pittsburgh,PA,15217
House for rent,1195,3,3633 Beechwood Blvd,Pittsburgh,PA,15217
Apartment for rent,800,2,13 N Meadowcroft Ave APT 3,Pittsburgh,PA,15216
Condo for rent,2000,4,3325 Parkview Ave # 1,Pittsburgh,PA,15213
House for rent,1650,3,3325 1/2 Parkview Ave,Pittsburgh,PA,15213
Apartment for rent,725,2,417 Lorenz Ave APT 2,Pittsburgh,PA,15220
Apartment for rent,1950,3,416 Oakland Ave APT 5,Pittsburgh,PA,15213
Apartment for rent,3400,6,3442 Dawson St # 1,Pittsburgh,PA,15213
House for rent,1195,2,2383 Saranac Ave,Pittsburgh,PA,15216
Apartment for rent,1395,2,727 Bellefonte St,Pittsburgh,PA,15232
Apartment for rent,950,2,1256 Mississippi Ave FL 2ND,Pittsburgh,PA,15216
Apartment for rent,1025,2,222 Morewood Ave # 2,Pittsburgh,PA,15213
Apartment for rent,1395,2,5715 Elmer St APT 2,Pittsburgh,PA,15232
Apartment for rent,1395,2,5721 Elmer St APT 1,Pittsburgh,PA,15232
House for rent,1100,4,756 Fairston St,Pittsburgh,PA,15204
Townhouse for rent,1125,3,5623 Melvin St,Pittsburgh,PA,15217
Apartment for rent,895,2,737 Mclain St # 2,Pittsburgh,PA,15210
Apartment for rent,750,1,5735 Ellsworth Ave,Pittsburgh,PA,15232
Apartment for rent,975,2,5601 Stanton Ave APT 2,Pittsburgh,PA,15206
Apartment for rent,1000,2,2234 Brownsville Rd,Pittsburgh,PA,15210
Apartment for rent,1275,2,2630 Noblestown Rd,Pittsburgh,PA,15205
House for rent,1950,2,707 Filbert St,Pittsburgh,PA,15232
Apartment for rent,895,1,1100 Laclair Ave,Pittsburgh,PA,15218
Townhouse for rent,2400,3,954 Pretense Way,Pittsburgh,PA,15203
Apartment for rent,1980,3,137 S 12th St # 2,Pittsburgh,PA,15203
Apartment for rent,1900,1,5537 5th Ave APT 2,Pittsburgh,PA,15232
Apartment for rent,850,1,2834 Bedford Ave # 1,Pittsburgh,PA,15219
House for rent,1150,2,344 Clarence St,Pittsburgh,PA,15211
House for rent,1550,2,1368 Kinmount St,Pittsburgh,PA,15205
Apartment for rent,1800,2,6327 Walnut St # 2,Pittsburgh,PA,15206
House for rent,1495,4,28 Bigelow St,Pittsburgh,PA,15207
Townhouse for rent,800,2,1017 Tweed St,Pittsburgh,PA,15204
Apartment for rent,995,3,3863 Brighton Road 3863 Brighton Rd,Pittsburgh,PA,15212
Apartment for rent,995,2,3618 Baytree St # 2,Pittsburgh,PA,15214
Townhouse for rent,3250,3,412 Morewood Ave,Pittsburgh,PA,15213
Townhouse for rent,2400,3,621 Avery St,Pittsburgh,PA,15212
House for rent,1300,3,1626 Falck Ave,Pittsburgh,PA,15212
House for rent,1195,3,3110 Pioneer Ave,Pittsburgh,PA,15226
House for rent,1400,4,5465 Broad St,Pittsburgh,PA,15206
Apartment for rent,950,2,4625 Liberty Ave,Pittsburgh,PA,15224
Apartment for rent,900,2,613 Alger St # 2,Pittsburgh,PA,15207
Apartment for rent,980,1,5551 Centre Ave APT 112,Pittsburgh,PA,15232
House for rent,1550,2,175 43 1/2 St,Pittsburgh,PA,15201
Apartment for rent,895,2,4709 Corday Way # 2,Pittsburgh,PA,15224
Apartment for rent,1600,2,225 Emerson St # 1,Pittsburgh,PA,15206
House for rent,1500,3,775 Greenfield Ave,Pittsburgh,PA,15217
Apartment for rent,1400,2,385 44th St # 3,Pittsburgh,PA,15201
Townhouse for rent,975,2,1509 Sarah St,Pittsburgh,PA,15203
Apartment for rent,1315,2,4107 Siebert St,Pittsburgh,PA,15201
Apartment for rent,1200,3,210 Olympia St # 2,Pittsburgh,PA,15211
House for rent,1295,3,E Elizabeth St,Pittsburgh,PA,15207
Apartment for rent,895,1,501 Greenfield Avenue # 2nd,Pittsburgh,PA,15207
Apartment for rent,2600,4,133 S 20th St # 3970417,Pittsburgh,PA,15203
Apartment for rent,1250,1,2341 E Carson St # 3,Pittsburgh,PA,15203
Apartment for rent,1150,1,130 S 22nd St # 22D,Pittsburgh,PA,15203
House for rent,850,2,1927 Arlington Ave,Pittsburgh,PA,15210
House for rent,1000,2,1929 Arlington Ave,Pittsburgh,PA,15210
Apartment for rent,950,2,986 E Warrington Ave,Pittsburgh,PA,15210
Apartment for rent,1825,1,1627 Penn Ave APT 805,Pittsburgh,PA,15222
Apartment for rent,800,2,70 Ruth St APT 1,Pittsburgh,PA,15211
